image_source,product_name,product_category,price,skin_tone,lip_shape
https://imagesmfl.s3.amazonaws.com/lipstick_images/632.jpeg,Long Lasting Soft Matte Lip Cream 02,JUDYDOLL,RM39.90,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/633.jpeg,Long Lasting Soft Matte Lip Cream 04,JUDYDOLL,RM39.90,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/634.jpeg,Satin Kiss Lipstick White Wedding 3.5g,REVOLUTION,RM44.91,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/635.jpeg,Satin Kiss Lipstick Icon 3.5g,REVOLUTION,RM44.91,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/636.jpeg,Stay On Balm Rouge Tint T03,CANMAKE,RM42.41,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/637.jpeg,Stay On Balm Rouge 13,CANMAKE,RM42.41,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/638.jpeg,Stay On Balm Rouge 02,CANMAKE,RM42.41,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/639.jpeg,Lip Color Shied 05 Antique Rose,CEZANNE,RM34.93,Medium,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/640.jpeg,Lip Color Shied 03 Cocoa Brown,CEZANNE,RM34.93,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/641.jpeg,Lip Color Shied 04 Mellow Pink,CEZANNE,RM34.93,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/642.jpeg,Icy Glow 03 Holymoly,MUZIGAE MANSION,RM72.25,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/643.jpeg,Objet Water 004 Celeb,MUZIGAE MANSION,RM72.25,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/644.jpeg,Objet Liquid 006 Notable,MUZIGAE MANSION,RM72.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/645.jpeg,Objet Liquid 015 Pride,MUZIGAE MANSION,RM72.90,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/646.jpeg,Objet Liquid 018 Knockout,MUZIGAE MANSION,RM72.25,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/647.jpeg,Objet Liquid 009 Perception,MUZIGAE MANSION,RM72.90,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/648.jpeg,Objet Liquid 011 Poise,MUZIGAE MANSION,RM72.90,Light,Normal
